id_recipe,qty_string,unit,qty,id_ingr,id
486,11 г,0,11.0,201,4284
486,7 мл,7,7.0,6,4285
486,510 г,0,510.0,343,4286
486,170 г,0,170.0,344,4287
486,1 штука,1,1.0,1,4288
486,25 г,0,25.0,20,4289
486,25 г,0,25.0,144,4290
486,25 г,0,25.0,45,4291
486,25 г,0,25.0,194,4292
487,1 стакан,3,1.0,287,4293
487,250 г,0,250.0,82,4294
487,1 стакан,3,1.0,3,4295
487,1 чайная ложка,4,1.0,7,4296
487,3 штуки,1,3.0,1,4297
487,1 стакан,3,1.0,2,4298
487,10 г,0,10.0,15,4299
488,3 штуки,1,3.0,108,4300
488,1 столовая ложка,2,1.0,2,4301
488,1 штука,1,1.0,463,4302
488,3 зубчика,5,3.0,17,4303
488,1 столовая ложка,2,1.0,66,4304
488,по вкусу,6,0.0,432,4305
488,по вкусу,6,0.0,21,4306
488,по вкусу,6,0.0,22,4307
489,по вкусу,6,0.0,21,4308
489,по вкусу,6,0.0,22,4309
489,50 мл,7,50.0,13,4310
489,100 мл,7,100.0,117,4311
489,100 мл,7,100.0,69,4312
489,щепотка,12,0.0,3,4313
489,2 столовые ложки,2,2.0,184,4314
489,щепотка,12,0.0,607,4315
489,6 зубчиков,5,6.0,17,4316
489,1 пучок,10,1.0,45,4317
489,2 штуки,1,2.0,450,4318
489,"1,5 л",11,1.5,369,4319
489,1 кг,14,1.0,40,4320
489,100 г,0,100.0,14,4321
489,2 головки,8,2.0,32,4322
489,2 штуки,1,2.0,97,4323
489,2 штуки,1,2.0,166,4324
490,10 г,0,10.0,509,4325
490,½ штуки,1,0.5,215,4326
490,150 мл,7,150.0,608,4327
490,8 кусков,9,8.0,499,4328
490,1 чайная ложка,4,1.0,116,4329
491,"1,5 кг",14,1.5,609,4330
491,6 головок,8,6.0,17,4331
491,50 мл,7,50.0,13,4332
491,20 г,0,20.0,48,4333
491,8 штук,1,8.0,92,4334
491,по вкусу,6,0.0,21,4335
491,по вкусу,6,0.0,22,4336
492,8 штук,1,8.0,1,4337
492,4 столовые ложки,2,4.0,2,4338
492,4 зубчика,5,4.0,17,4339
492,по вкусу,6,0.0,21,4340
492,по вкусу,6,0.0,57,4341
492,по вкусу,6,0.0,13,4342
493,400 г,0,400.0,522,4343
493,400 г,0,400.0,47,4344
493,1 столовая ложка,2,1.0,15,4345
493,1 столовая ложка,2,1.0,2,4346
493,500 мл,7,500.0,114,4347
493,150 г,0,150.0,65,4348
493,по вкусу,6,0.0,21,4349
493,по вкусу,6,0.0,22,4350
494,500 г,0,500.0,497,4351
494,400 г,0,400.0,90,4352
494,400 г,0,400.0,200,4353
494,250 г,0,250.0,334,4354
494,5 столовых ложек,2,5.0,82,4355
494,½ стакана,3,0.5,54,4356
494,1 штука,1,1.0,51,4357
494,1 столовая ложка,2,1.0,15,4358
495,4 столовые ложки,2,4.0,178,4359
495,1 столовая ложка,2,1.0,291,4360
495,2 столовые ложки,2,2.0,13,4361
495,1 зубчик,5,1.0,17,4362
495,по вкусу,6,0.0,274,4363
495,по вкусу,6,0.0,22,4364
495,по вкусу,6,0.0,610,4365
495,200 г,0,200.0,611,4366
496,500 г,0,500.0,612,4367
496,500 г,0,500.0,47,4368
496,2 столовые ложки,2,2.0,77,4369
496,4 столовые ложки,2,4.0,15,4370
496,125 г,0,125.0,30,4371
496,200 мл,7,200.0,28,4372
496,100 мл,7,100.0,117,4373
496,4 штуки,1,4.0,1,4374
496,щепотка,12,0.0,261,4375
497,400 г,0,400.0,90,4376
497,300 г,0,300.0,108,4377
497,2 головки,8,2.0,51,4378
497,3 штуки,1,3.0,1,4379
497,1 банка,13,1.0,613,4380
497,2 штуки,1,2.0,14,4381
497,по вкусу,6,0.0,43,4382
497,1 банка,13,1.0,66,4383
498,3 столовые ложки,2,3.0,287,4384
498,300 мл,7,300.0,28,4385
498,300 мл,7,300.0,57,4386
498,10 г,0,10.0,3,4387
498,по вкусу,6,0.0,21,4388
498,50 г,0,50.0,15,4389
498,по вкусу,6,0.0,210,4390
499,600 г,0,600.0,108,4391
499,70 мл,7,70.0,452,4392
499,3 столовые ложки,2,3.0,24,4393
499,10 г,0,10.0,135,4394
499,50 г,0,50.0,51,4395
499,2 зубчика,5,2.0,17,4396
499,3 столовые ложки,2,3.0,614,4397
499,50 мл,7,50.0,6,4398
499,по вкусу,6,0.0,18,4399
499,по вкусу,6,0.0,20,4400
500,6 штук,1,6.0,1,4401
500,3 штуки,1,3.0,40,4402
500,1 пучок,10,1.0,549,4403
500,по вкусу,6,0.0,22,4404
500,1 стакан,3,1.0,85,4405
500,200 г,0,200.0,108,4406
500,1 штука,1,1.0,106,4407
501,220 г,0,220.0,23,4408
501,120 г,0,120.0,24,4409
501,3 штуки,1,3.0,1,4410
501,100 г,0,100.0,15,4411
501,50 г,0,50.0,2,4412
501,100 г,0,100.0,134,4413
501,по вкусу,6,0.0,196,4414
502,650 г,0,650.0,2,4415
502,50 г,0,50.0,120,4416
502,100 г,0,100.0,476,4417
502,100 г,0,100.0,15,4418
502,2 штуки,1,2.0,1,4419
502,1 стакан,3,1.0,28,4420
502,30 г,0,30.0,202,4421
502,6 столовых ложек,2,6.0,430,4422
503,15 штук,1,15.0,585,4423
503,300 г,0,300.0,72,4424
503,100 г,0,100.0,37,4425
503,3 столовые ложки,2,3.0,13,4426
503,2 столовые ложки,2,2.0,145,4427
504,1 банка,13,1.0,111,4428
504,3 столовые ложки,2,3.0,615,4429
504,½ чайные ложки,4,0.5,3,4430
504,1 столовая ложка,2,1.0,362,4431
504,по вкусу,6,0.0,21,4432
504,по вкусу,6,0.0,22,4433
505,500 г,0,500.0,31,4434
505,50 г,0,50.0,616,4435
505,4 зубчика,5,4.0,17,4436
505,1 штука,1,1.0,617,4437
505,500 г,0,500.0,298,4438
505,100 мл,7,100.0,59,4439
505,20 г,0,20.0,45,4440
505,100 мл,7,100.0,13,4441
505,1 стебель,15,1.0,142,4442
505,1 штука,1,1.0,14,4443
505,1 головка,8,1.0,51,4444
505,1 штука,1,1.0,385,4445
505,20 г,0,20.0,15,4446
505,20 г,0,20.0,184,4447
505,10 г,0,10.0,2,4448
505,по вкусу,6,0.0,21,4449
506,1 кг,14,1.0,349,4450
506,100 г,0,100.0,2,4451
506,150 г,0,150.0,618,4452
506,2 штуки,1,2.0,1,4453
506,100 г,0,100.0,3,4454
506,по вкусу,6,0.0,21,4455
506,щепотка,12,0.0,121,4456
506,1 столовая ложка,2,1.0,80,4457
507,1 стакан,3,1.0,3,4458
507,3 штуки,1,3.0,125,4459
507,¾ чайные ложки,4,0.75,386,4460
508,1 головка,8,1.0,51,4461
508,1 столовая ложка,2,1.0,6,4462
508,1 столовая ложка,2,1.0,619,4463
508,700 г,0,700.0,132,4464
508,100 г,0,100.0,107,4465
508,100 г,0,100.0,351,4466
508,2 штуки,1,2.0,14,4467
508,10 штук,1,10.0,90,4468
508,100 мл,7,100.0,28,4469
508,100 г,0,100.0,15,4470
508,100 г,0,100.0,82,4471
508,по вкусу,6,0.0,21,4472
508,по вкусу,6,0.0,22,4473
508,100 г,0,100.0,127,4474
508,3 столовые ложки,2,3.0,129,4475
509,3 штуки,1,3.0,620,4476
509,100 мл,7,100.0,621,4477
509,100 г,0,100.0,304,4478
509,370 мл,7,370.0,70,4479
509,250 г,0,250.0,316,4480
509,4 штуки,1,4.0,128,4481
509,120 г,0,120.0,3,4482
509,2 столовые ложки,2,2.0,216,4483
509,3 столовые ложки,2,3.0,213,4484
510,2 штуки,1,2.0,1,4485
510,3 столовые ложки,2,3.0,3,4486
510,щепотка,12,0.0,21,4487
510,10 г,0,10.0,253,4488
510,15 г,0,15.0,7,4489
510,2 столовые ложки,2,2.0,28,4490
510,250 г,0,250.0,2,4491
510,250 г,0,250.0,219,4492
511,2 столовые ложки,2,2.0,16,4493
511,2 штуки,1,2.0,1,4494
511,1 чайная ложка,4,1.0,7,4495
511,1 стакан,3,1.0,3,4496
511,425 г,0,425.0,15,4497
511,"3,5 стакана",3,3.5,2,4498
511,по вкусу,6,0.0,25,4499
511,"1,5 банок",13,1.5,622,4500
512,1 головка,8,1.0,51,4501
